Month,Sales
2015-01,4343
2015-02,5421
2015-03,4534
2015-04,3323
2015-05,2943
2015-06,4322
2015-07,3342
2015-08,5231
2015-09,5343
2015-10,6123
2015-11,5478
2015-12,7534
2016-01,8534
2016-02,7553
2016-03,7123
2016-04,5642
2016-05,5634
2016-06,6234
2016-07,4543
2016-08,4244
2016-09,3234
2016-10,4566
2016-11,5345
2016-12,7743
2017-01,7454
2017-02,7134
2017-03,6324
2017-04,4343
2017-05,2144
2017-06,3689
2017-07,3975
2017-08,4367
2017-09,4578
2017-10,6455
2017-11,4636
2017-12,7283
2018-01,6534
2018-02,4324
2018-03,4753
2018-04,5234
2018-05,6534
2018-06,4234
2018-07,2455
2018-08,2989
2018-09,3564
2018-10,6534
2018-11,6343
2018-12,5642
2019-01,6454
2019-02,7645
2019-03,7223
2019-04,6534
2019-05,5324
2019-06,6435
2019-07,4534
2019-08,6345
2019-09,7435
2019-10,5344
2019-11,5975
2019-12,6774
2020-01,5634
2020-02,4233
2020-03,4796
2020-04,6444
2020-05,6123
2020-06,4123
2020-07,3976
2020-08,5234
2020-09,6123
2020-10,6845
2020-11,7454
2020-12,6345
2021-01,6144
2021-02,5823
2021-03,5134
2021-04,6976
2021-05,7356
2021-06,8675
2021-07,6454
2021-08,6124
2021-09,7542
2021-10,6324
2021-11,4234
2021-12,5634
